0	 4	 'THETA AFTER TIMESTEP '	 'TMONMN '	 'DALLTH '	 api
0	 10	 'SPECIFIC HUMIDITY AFTER TIMESTEP '	 'TMONMN '	 'DALLTH '	 api
0	 12	 'QCF AFTER TIMESTEP '	 'TMONMN '	 'DALLTH '	 api
0	 23	 'SNOW AMOUNT OVER LAND AFT TSTP KG/M2'	 'TDAYM '	 'DIAG '	 apf
0	 23	 'SNOW AMOUNT OVER LAND AFT TSTP KG/M2'	 'TMONMN '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TDAYM '	 'DIAG '	 apa
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'T3H '	 'DIAG '	 aph
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMONMN '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN00 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN03 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN06 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN09 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN12 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN15 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN18 '	 'DIAG '	 api
0	 24	 'SURFACE TEMPERATURE AFTER TIMESTEP '	 'TMPMN21 '	 'DIAG '	 api
0	 25	 'BOUNDARY LAYER DEPTH AFTER TIMESTEP '	 'TMONMN '	 'DIAG '	 api
0	 31	 'FRAC OF SEA ICE IN SEA AFTER TSTEP '	 'TDAYM '	 'DIAG '	 apa
0	 31	 'FRAC OF SEA ICE IN SEA AFTER TSTEP '	 'TMONMN '	 'DIAG '	 api
0	 58	 'SULPHUR DIOXIDE EMISSIONS '	 'TMONMN '	 'DIAG '	 api
0	 59	 'DIMETHYL SULPHIDE EMISSIONS (ANCIL) '	 'TMONMN '	 'DIAG '	 api
0	 101	 'SO2 MASS MIXING RATIO AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 102	 'DIMETHYL SULPHIDE MIX RAT AFTER TS '	 'TMONMN '	 'DALLTH '	 api
0	 103	 'SO4 AITKEN MODE AEROSOL AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 104	 'SO4 ACCUM. MODE AEROSOL AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 105	 'SO4 DISSOLVED AEROSOL AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 108	 'FRESH SOOT MASS MIX RAT AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 109	 'AGED SOOT MASS MIX RAT AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 110	 'CLOUD SOOT MASS MIX RAT AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 111	 'FRESH BIOMASS SMOKE AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 112	 'AGED BIOMASS SMOKE AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 113	 'CLOUD BIOMASS SMOKE AFTER TSTEP '	 'TMONMN '	 'DALLTH '	 api
0	 121	 '3D NATURAL SO2 EMISSIONS KG/M2/S '	 'TMONMN '	 'DALLTH '	 api
0	 126	 'HIGH LEVEL SO2 EMISSIONS KG/M2/S '	 'TMONMN '	 'DIAG '	 api
0	 129	 'FRESH SOOT HI LEV EMISS KG/M2/S '	 'TMONMN '	 'DIAG '	 api
0	 130	 'FRESH BIOMASS SURF EMISS KG/M2/S '	 'TMONMN '	 'DIAG '	 api
0	 131	 'FRESH BIOMASS HI LEV EMISS KG/M2/S '	 'TMONMN '	 'DIAG '	 api
0	 132	 'DMS CONCENTRATION IN SEAWATER '	 'TMONMN '	 'DIAG '	 api
0	 135	 'FRESH OCFF HI LEV EMISS KG/M2/S '	 'TMONMN '	 'DIAG '	 api
0	 211	 'CCA WITH ANVIL AFTER TIMESTEP '	 'TMONMN '	 'DALLTH '	 api
0	 238	 'SURFACE DOWNWARD LW RADIATION W/M2'	 'TMONMN '	 'DIAG '	 api
0	 239	 'TOA - SURF UPWARD LW RADIATION W/M2'	 'TMONMN '	 'DIAG '	 api
0	 254	 'QCL AFTER TIMESTEP '	 'TMONMN '	 'DALLTH '	 api
0	 262	 'BOUNDARY LAYER CONVECTION FLAG '	 'TMONMN '	 'DIAG '	 api
0	 265	 'AREA CLOUD FRACTION IN EACH LAYER '	 'TMONMN '	 'DALLTH '	 api
0	 266	 'BULK CLOUD FRACTION IN EACH LAYER '	 'TMONMN '	 'DALLTH '	 api
0	 267	 'LIQUID CLOUD FRACTION IN EACH LAYER '	 'TMONMN '	 'DALLTH '	 api
0	 268	 'FROZEN CLOUD FRACTION IN EACH LAYER '	 'TMONMN '	 'DALLTH '	 api
0	 407	 'PRESSURE AT RHO LEVELS AFTER TS '	 'TDAYM '	 'D52RH '	 apd
0	 407	 'PRESSURE AT RHO LEVELS AFTER TS '	 'TMONMN '	 'DALLRH '	 api
0	 408	 'PRESSURE AT THETA LEVELS AFTER TS '	 'TDAYM '	 'D52TH '	 apd
0	 408	 'PRESSURE AT THETA LEVELS AFTER TS '	 'TMONMN '	 'DALLTH '	 api
0	 409	 'SURFACE PRESSURE AFTER TIMESTEP '	 'TMONMN '	 'DIAG '	 api
0	 431	 'Dust division 1 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 432	 'Dust division 2 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 433	 'Dust division 3 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 434	 'Dust division 4 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 435	 'Dust division 5 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 436	 'Dust division 6 mass mixing ratio '	 'TMONMN '	 'DALLTH '	 api
0	 507	 'OPEN SEA SURFACE TEMP AFTER TIMESTEP'	 'TMONMN '	 'DIAG '	 api
0	 508	 'SEA-ICE SURFACE TEMP AFTER TIMESTEP '	 'TMONMN '	 'DIAG '	 api
0	 509	 'SEA ICE ALBEDO AFTER TS '	 'TMONMN '	 'DIAG '	 api
0	 510	 'MEAN LAND ALBEDO AFTER TS '	 'TMONMN '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TDAYM '	 'DIAG '	 apd
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'T3H '	 'DIAG '	 aph
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMONMN '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN00 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN03 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN06 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN09 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN12 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN15 '	 'DIAG '	 api
1	 201	 'NET DOWN SURFACE SW FLUX: SW TS ONLY'	 'TMPMN18 '	 'DIAG '	 api
